,epoch,train/eval,batch_size,loss,acc
0,0,eval,32,21.410701751708984,0.0
0,0,eval,32,21.411678314208984,0.0
0,0,eval,32,21.470306396484375,0.0
0,0,eval,32,21.250289916992188,0.0
0,0,eval,32,21.541481018066406,0.0
0,0,eval,32,21.496173858642578,0.0
0,0,eval,32,21.2183895111084,0.0
0,0,eval,32,21.686403274536133,0.0
0,0,eval,32,21.713605880737305,0.0
0,0,eval,32,21.45558738708496,0.0
0,0,eval,32,21.276464462280273,0.0
0,0,eval,32,21.418405532836914,0.0
0,0,eval,32,21.6814022064209,0.0
0,0,eval,32,21.347469329833984,0.0
0,0,eval,32,21.51810646057129,0.0
